date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:33	131/131	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2002%20Oct%202024%2009:12:36%20GMT	https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/robots.txt		(from )
02:12:33	227050/227050	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2009:12:36%20GMT	https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/	C:/My%20Web%20Sites/demola/fixrectifysync-rkgsyeb9-greg-sept.4everland.app/index.html	(from )
02:12:34	13167/13167	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2002%20Oct%202024%2009:12:38%20GMT	https://kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/demola/kit.fontawesome.com/78d167673c.js	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:34	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/demola/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:36	25427/25427	---MCZ	200	added ('OK')	text/css	etag:W/%229bab03aa027cf05106b5788cfec2b67f%22	https://fixrectifysync.pages.dev/style/animation/2.6%20animate.css.css	C:/My%20Web%20Sites/demola/fixrectifysync.pages.dev/style/animation/2.6%20animate.css.css	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:36	8542/8542	---MCZ	200	added ('OK')	text/css	etag:W/%22a98f0a63b7a7840e0bd9755e66506ccc%22	https://fixrectifysync.pages.dev/style/index.css	C:/My%20Web%20Sites/demola/fixrectifysync.pages.dev/style/index.css	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:37	87960/87960	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2009:12:40%20GMT	https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/walletsync.html	C:/My%20Web%20Sites/demola/fixrectifysync-rkgsyeb9-greg-sept.4everland.app/walletsync.html	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:38	58991/58991	---M--	200	added ('OK')	application/javascript	etag:%227046f8f1f574e5f2da66f6cb5ba73b61%22	https://files.coinmarketcap.com/static/widget/coinMarquee.js	C:/My%20Web%20Sites/demola/files.coinmarketcap.com/static/widget/coinMarquee.js	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2009:12:41%20GMT	https://pumpeth.com/wp-content/uploads/2018/06/secure.png	C:/My%20Web%20Sites/demola/pumpeth.com/wp-content/uploads/2018/06/secure.6.delayed	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2009:12:41%20GMT	https://pumpeth.com/wp-content/uploads/2018/06/case.png	C:/My%20Web%20Sites/demola/pumpeth.com/wp-content/uploads/2018/06/case.png	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202024%2009:12:42%20GMT	https://pumpeth.com/wp-content/uploads/2018/06/app.png	C:/My%20Web%20Sites/demola/pumpeth.com/wp-content/uploads/2018/06/app.png	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
02:12:41	200/200	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2002%20Oct%202024%2009:12:44%20GMT	https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/script/jquery3.6.0.min.js	C:/My%20Web%20Sites/demola/fixrectifysync-rkgsyeb9-greg-sept.4everland.app/script/jquery3.6.0.min.9.delayed	(from https://fixrectifysync-rkgsyeb9-greg-sept.4everland.app/)
